FECHA;CLASE;DIA_NOMBRE;PERIODO;FESTIVO;NAVIDAD;SEMSANTA;ESCOLAR;ACCIDENTES
2019-01-23;OTRO;MIERCOLES;2019;No;No;No;No;14
2019-01-24;ATROPELLO;JUEVES;2019;No;No;No;No;12
2019-01-24;CAIDA OCUPANTE;JUEVES;2019;No;No;No;No;11
2019-01-24;CHOQUE;JUEVES;2019;No;No;No;No;83
2019-01-24;INCENDIO;JUEVES;2019;No;No;No;No;1
2019-01-24;OTRO;JUEVES;2019;No;No;No;No;14
2019-01-24;VOLCAMIENTO;JUEVES;2019;No;No;No;No;4
2019-01-25;ATROPELLO;VIERNES;2019;No;No;No;No;13
2019-01-25;CAIDA OCUPANTE;VIERNES;2019;No;No;No;No;12
2019-01-25;CHOQUE;VIERNES;2019;No;No;No;No;87
2019-01-25;INCENDIO;VIERNES;2019;No;No;No;No;1
2019-01-25;OTRO;VIERNES;2019;No;No;No;No;14
2019-01-25;VOLCAMIENTO;VIERNES;2019;No;No;No;No;4
2019-01-26;ATROPELLO;SABADO;2019;No;No;No;No;12
2019-01-26;CAIDA OCUPANTE;SABADO;2019;No;No;No;No;10
2019-01-26;CHOQUE;SABADO;2019;No;No;No;No;78
2019-01-26;INCENDIO;SABADO;2019;No;No;No;No;1
2019-01-26;OTRO;SABADO;2019;No;No;No;No;13
2019-01-26;VOLCAMIENTO;SABADO;2019;No;No;No;No;4
2019-01-27;ATROPELLO;DOMINGO;2019;No;No;No;No;8
2019-01-27;CAIDA OCUPANTE;DOMINGO;2019;No;No;No;No;7
2019-01-27;CHOQUE;DOMINGO;2019;No;No;No;No;52
2019-01-27;INCENDIO;DOMINGO;2019;No;No;No;No;1
2019-01-27;OTRO;DOMINGO;2019;No;No;No;No;8
2019-01-27;VOLCAMIENTO;DOMINGO;2019;No;No;No;No;3
2019-01-28;ATROPELLO;LUNES;2019;No;No;No;No;12
2019-01-28;CAIDA OCUPANTE;LUNES;2019;No;No;No;No;11
2019-01-28;CHOQUE;LUNES;2019;No;No;No;No;81
2019-01-28;INCENDIO;LUNES;2019;No;No;No;No;1
2019-01-28;OTRO;LUNES;2019;No;No;No;No;13
2019-01-29;ATROPELLO;MARTES;2019;No;No;No;No;13
2019-01-29;CAIDA OCUPANTE;MARTES;2019;No;No;No;No;11
2019-01-29;CHOQUE;MARTES;2019;No;No;No;No;86
2019-01-29;INCENDIO;MARTES;2019;No;No;No;No;1
2019-01-29;OTRO;MARTES;2019;No;No;No;No;14
2019-01-30;ATROPELLO;MIERCOLES;2019;No;No;No;No;12
2019-01-30;CAIDA OCUPANTE;MIERCOLES;2019;No;No;No;No;11
2019-01-30;CHOQUE;MIERCOLES;2019;No;No;No;No;84
2019-01-30;INCENDIO;MIERCOLES;2019;No;No;No;No;1
2019-01-30;OTRO;MIERCOLES;2019;No;No;No;No;14
2019-01-30;VOLCAMIENTO;MIERCOLES;2019;No;No;No;No;4
2019-01-31;ATROPELLO;JUEVES;2019;No;No;No;No;12
2019-01-31;CAIDA OCUPANTE;JUEVES;2019;No;No;No;No;11
2019-01-31;CHOQUE;JUEVES;2019;No;No;No;No;84
2019-01-31;INCENDIO;JUEVES;2019;No;No;No;No;1
2019-01-31;OTRO;JUEVES;2019;No;No;No;No;14
2019-01-31;VOLCAMIENTO;JUEVES;2019;No;No;No;No;4
2019-02-01;ATROPELLO;VIERNES;2019;No;No;No;No;13
2019-02-01;CAIDA OCUPANTE;VIERNES;2019;No;No;No;No;12
2019-02-01;CHOQUE;VIERNES;2019;No;No;No;No;87
2019-02-01;INCENDIO;VIERNES;2019;No;No;No;No;1
2019-02-01;OTRO;VIERNES;2019;No;No;No;No;14
2019-02-01;VOLCAMIENTO;VIERNES;2019;No;No;No;No;4
2019-02-02;ATROPELLO;SABADO;2019;No;No;No;No;12
2019-02-02;CAIDA OCUPANTE;SABADO;2019;No;No;No;No;10
2019-02-02;CHOQUE;SABADO;2019;No;No;No;No;78
2019-02-02;INCENDIO;SABADO;2019;No;No;No;No;1
2019-02-02;OTRO;SABADO;2019;No;No;No;No;13
2019-02-02;VOLCAMIENTO;SABADO;2019;No;No;No;No;4
2019-02-03;ATROPELLO;DOMINGO;2019;No;No;No;No;8
2019-02-03;CAIDA OCUPANTE;DOMINGO;2019;No;No;No;No;7
2019-02-03;CHOQUE;DOMINGO;2019;No;No;No;No;52
2019-02-03;INCENDIO;DOMINGO;2019;No;No;No;No;1
2019-02-03;OTRO;DOMINGO;2019;No;No;No;No;9
2019-02-03;VOLCAMIENTO;DOMINGO;2019;No;No;No;No;3
2019-02-04;ATROPELLO;LUNES;2019;No;No;No;No;12
2019-02-04;CAIDA OCUPANTE;LUNES;2019;No;No;No;No;11
2019-02-04;CHOQUE;LUNES;2019;No;No;No;No;81
2019-02-04;INCENDIO;LUNES;2019;No;No;No;No;1
2019-02-04;OTRO;LUNES;2019;No;No;No;No;13
2019-02-04;VOLCAMIENTO;LUNES;2019;No;No;No;No;4
2019-02-05;ATROPELLO;MARTES;2019;No;No;No;No;13
2019-02-05;CAIDA OCUPANTE;MARTES;2019;No;No;No;No;11
2019-02-05;CHOQUE;MARTES;2019;No;No;No;No;86
2019-02-05;INCENDIO;MARTES;2019;No;No;No;No;1
2019-02-05;OTRO;MARTES;2019;No;No;No;No;14
2019-02-05;VOLCAMIENTO;MARTES;2019;No;No;No;No;4
2019-02-06;ATROPELLO;MIERCOLES;2019;No;No;No;No;12
2019-02-06;CAIDA OCUPANTE;MIERCOLES;2019;No;No;No;No;11
2019-02-06;CHOQUE;MIERCOLES;2019;No;No;No;No;84
2019-02-06;INCENDIO;MIERCOLES;2019;No;No;No;No;1
2019-02-06;OTRO;MIERCOLES;2019;No;No;No;No;14
2019-02-06;VOLCAMIENTO;MIERCOLES;2019;No;No;No;No;4
2019-02-07;ATROPELLO;JUEVES;2019;No;No;No;No;12
2019-02-07;CAIDA OCUPANTE;JUEVES;2019;No;No;No;No;11
2019-02-07;CHOQUE;JUEVES;2019;No;No;No;No;84
2019-02-07;INCENDIO;JUEVES;2019;No;No;No;No;1
2019-02-07;OTRO;JUEVES;2019;No;No;No;No;14
2019-02-07;VOLCAMIENTO;JUEVES;2019;No;No;No;No;4
2019-02-08;ATROPELLO;VIERNES;2019;No;No;No;No;13
2019-02-08;CAIDA OCUPANTE;VIERNES;2019;No;No;No;No;12
2019-02-08;CHOQUE;VIERNES;2019;No;No;No;No;87
2019-02-08;INCENDIO;VIERNES;2019;No;No;No;No;1
2019-02-08;OTRO;VIERNES;2019;No;No;No;No;14
2019-02-08;VOLCAMIENTO;VIERNES;2019;No;No;No;No;4
2019-02-09;ATROPELLO;SABADO;2019;No;No;No;No;12
2019-02-09;CAIDA OCUPANTE;SABADO;2019;No;No;No;No;10
2019-02-09;CHOQUE;SABADO;2019;No;No;No;No;78
