FECHA,CLASE,total_accidentes,MES,FESTIVO,MADRE,NAVIDAD,BRUJITOS,SEMSANTA,ESCOLAR,DIA_NOMBRE,SEMANA,PERIODO
2019-02-04,OTRO,6,02,No,No,No,No,No,No,LUNES,5,2019
2019-02-04,VOLCAMIENTO,2,02,No,No,No,No,No,No,LUNES,5,2019
2019-02-05,ATROPELLO,5,02,No,No,No,No,No,No,MARTES,6,2019
2019-02-05,CAIDA OCUPANTE,10,02,No,No,No,No,No,No,MARTES,6,2019
2019-02-05,CHOQUE,85,02,No,No,No,No,No,No,MARTES,6,2019
2019-02-05,OTRO,14,02,No,No,No,No,No,No,MARTES,6,2019
2019-02-05,VOLCAMIENTO,4,02,No,No,No,No,No,No,MARTES,6,2019
2019-02-06,ATROPELLO,11,02,No,No,No,No,No,No,MIERCOLES,6,2019
2019-02-06,CAIDA OCUPANTE,8,02,No,No,No,No,No,No,MIERCOLES,6,2019
2019-02-06,CHOQUE,88,02,No,No,No,No,No,No,MIERCOLES,6,2019
2019-02-06,OTRO,13,02,No,No,No,No,No,No,MIERCOLES,6,2019
2019-02-06,VOLCAMIENTO,3,02,No,No,No,No,No,No,MIERCOLES,6,2019
2019-02-07,ATROPELLO,14,02,No,No,No,No,No,No,JUEVES,6,2019
2019-02-07,CAIDA OCUPANTE,8,02,No,No,No,No,No,No,JUEVES,6,2019
2019-02-07,CHOQUE,99,02,No,No,No,No,No,No,JUEVES,6,2019
2019-02-07,OTRO,3,02,No,No,No,No,No,No,JUEVES,6,2019
2019-02-07,VOLCAMIENTO,2,02,No,No,No,No,No,No,JUEVES,6,2019
2019-02-08,ATROPELLO,10,02,No,No,No,No,No,No,VIERNES,6,2019
2019-02-08,CAIDA OCUPANTE,4,02,No,No,No,No,No,No,VIERNES,6,2019
2019-02-08,CHOQUE,87,02,No,No,No,No,No,No,VIERNES,6,2019
2019-02-08,OTRO,10,02,No,No,No,No,No,No,VIERNES,6,2019
2019-02-08,VOLCAMIENTO,3,02,No,No,No,No,No,No,VIERNES,6,2019
2019-02-09,ATROPELLO,11,02,No,No,No,No,No,No,SABADO,6,2019
2019-02-09,CAIDA OCUPANTE,8,02,No,No,No,No,No,No,SABADO,6,2019
2019-02-09,CHOQUE,94,02,No,No,No,No,No,No,SABADO,6,2019
2019-02-09,OTRO,8,02,No,No,No,No,No,No,SABADO,6,2019
2019-02-09,VOLCAMIENTO,2,02,No,No,No,No,No,No,SABADO,6,2019
2019-02-10,ATROPELLO,10,02,No,No,No,No,No,No,DOMINGO,6,2019
2019-02-10,CAIDA OCUPANTE,13,02,No,No,No,No,No,No,DOMINGO,6,2019
2019-02-10,CHOQUE,81,02,No,No,No,No,No,No,DOMINGO,6,2019
2019-02-10,OTRO,6,02,No,No,No,No,No,No,DOMINGO,6,2019
2019-02-10,VOLCAMIENTO,1,02,No,No,No,No,No,No,DOMINGO,6,2019
